ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
145,Asus Vivobook Go 14 E1404FA,6199000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",8,512,7.0,60,70,80,80,69.0
146,Asus Vivobook Go 14 E1404FA,10199000,"AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",16,512,7.0,80,90,80,80,83.0
147,Asus Vivobook Go 14 E1404FA,7699000,"AMD Ryzen™ 5 7520U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.3 GHz max boost)",8,512,7.0,60,70,80,80,69.0
148,Asus Vivobook Go 14 E1404FA,7399000,"AMD Ryzen™ 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
149,Asus Vivobook Go 14 E1404FA,9099000,"AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",8,512,7.0,80,70,80,80,77.0
150,Asus Vivobook Go 14 E1404GA,5899000,"Intel Core i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
151,Asus Vivobook Go 14 E1404GA,5899000,"Intel® Core™ i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
152,Asus Vivobook Go 14 E1404GA,6149000,"Intel® Core™ i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
153,Asus Vivobook Go 14 E1404GA,5999000,"Intel Core i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
154,Asus Vivobook Go 14 E1404GA,6299000,"Intel Core i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
155,Asus Vivobook Go 14 E1404GA,5599000,"Intel Core i3-N305 Processor 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
156,Asus Vivobook Go 14 E1404TA,6999000,"Intel Processor N150 0.8 GHz (6MB Cache, up to 3.6 GHz, 4 cores, 4 Threads)",8,256,7.0,60,70,60,80,65.0
157,Asus Vivobook Go 14 E410KA,4449000,"Intel Celeron N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,256,7.0,60,70,60,80,65.0
158,Asus Vivobook Go 14 E410KA,3999000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",4,256,7.0,60,40,60,80,56.0
159,Asus Vivobook Go 14 E410KA,4549000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,256,7.0,60,70,60,80,65.0
160,Asus Vivobook Go 14 E410KA,4499000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,256,7.0,60,70,60,80,65.0
161,Asus Vivobook Go 14 E410KA,4849000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,512,7.0,60,70,80,80,69.0
162,Asus Vivobook Go 14 E410KA,4949000,"Intel Celeron N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,512,7.0,60,70,80,80,69.0
163,Asus Vivobook Go 15 E1504FA,9299000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",16,512,7.0,60,90,80,80,75.0
164,Asus Vivobook Go 15 E1504FA,9299000,"AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",16,512,7.0,80,90,80,80,83.0
165,Asus Vivobook Go 15 OLED E1504FA,7349000,"AMD Ryzen 3 7320U Processor 2.4GHz (6MB Cache, up to 4.1GHz, 4 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
166,Asus Vivobook Go E1404FA,8299000,"AMD Ryzen™ 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)",16,512,7.0,60,90,80,80,75.0
167,Asus Vivobook Go E410KA,4899000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,512,7.0,60,70,80,80,69.0
168,Asus Vivobook Pro 16X OLED M7600QE,14999000,"AMD Ryzen™ 9 5900HX Mobile Processor (8-core/16-thread, 20MB cache, up to 4.6 GHz max boost)",16,1000,5.0,60,90,100,60,77.0
169,Asus Vivobook S 14 Flip OLED TP3402VA Touch 2in1,15499000,"Intel Core i7-13700H Processor 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 cores, 20 Threads)",16,512,7.0,100,90,80,80,91.0
170,Asus Vivobook S 14 S5406MA,14999000,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads) Intel® AI Boost NPU”",16,1000,7.0,100,90,100,80,95.0
171,Asus Vivobook S14 Flip OLED TP3402VA Touch 2in1,13349000,"Intel Core i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)",16,512,7.0,80,90,80,80,83.0
172,Asus Vivobook S14 Flip TN3402YA Touch 2in1,11399000,"AMD Ryzen™ 5 7430U Processor 2.3GHz (19MB Cache, up to 4.3GHz, 6 cores, 12 Threads)",16,512,7.0,60,90,80,80,75.0
173,Asus Vivobook S14 Flip TP3402VA Touch 2in1,12499000,"Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads)",16,512,7.0,80,90,80,80,83.0
174,Asus Vivobook S14 M3407HA,14999000,"AMD Ryzen 7 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads) AMD XDNA NPU up to 16TOPS",16,1000,7.0,100,90,100,80,95.0
175,Asus Vivobook S14 M3407KA,16999000,"AMD Ryzen AI 7 350 Processor 2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA NPU up to 50TOPS",16,1000,7.0,60,90,100,80,79.0
176,Asus Vivobook S14 S3407CA,15999000,Intel AI Boost NPU up to 13TOPS,16,1000,7.0,60,90,100,80,79.0
177,Asus Vivobook S14 S3407CA,14499000,"Intel Core Ultra 5 Processor 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 cores, 16 Threads)",16,1000,7.0,80,90,100,80,87.0
178,Asus Vivobook S14 S3407CA,13399000,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,1000,7.0,60,90,100,80,79.0
179,Asus Vivobook S14 S3407QA Snapdragon,11999000,"Snapdragon® X X1 26 100 Processor (30MB Cache, up to 2.97GHz, 8 cores, 8 Threads); Qualcomm® Hexagon™ NPU up to 45TOPS",16,512,7.0,60,90,80,80,75.0
180,Asus Vivobook S14 S3407QA Snapdragon®,14199000,"Snapdragon® X X1 26 100 Processor (30MB Cache, up to 2.97GHz, 8 cores, 8 Threads); Qualcomm® Hexagon™ NPU up to 45TOPS",16,1000,7.0,60,90,100,80,79.0
181,Asus Vivobook S14 S3407QA Snapdragon®,13499000,"Snapdragon® X X1 26 100 Processor (30MB Cache, up to 2.97GHz, 8 cores, 8 Threads); Qualcomm® Hexagon™ NPU up to 45TOPS",16,512,7.0,60,90,80,80,75.0
182,Asus Vivobook S14 S3407VA,12699000,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,7.0,60,90,80,80,75.0
183,Asus Vivobook S14 S5406SA,17499000,"Intel Core Ultra 7 Processor 258V 32GB 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads) Intel AI Boost NPU up to 47",32,1000,7.0,100,100,100,80,98.0
184,Asus Zenbook 14 OLED UX3405CA,24999000,Intel AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
185,Asus Zenbook 14 OLED UX3405CA,21999000,Intel AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
186,Asus Zenbook 14 OLED UX3405MA,18999000,"Intel Core Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads)",32,1000,7.0,100,100,100,80,98.0
187,Asus Zenbook 14 OLED UX3405MA,18999000,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads) Intel® AI Boost NPU",32,1000,7.0,100,100,100,80,98.0
188,Asus Zenbook 14 OLED UX3405MA,15999000,"Intel® Core™ Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads); Intel® AI Boost NPU",16,1000,7.0,80,90,100,80,87.0
189,Asus Zenbook 14 UX3405CA,19999000,Intel AI Boost NPU,16,1000,7.0,60,90,100,80,79.0
190,Asus Zenbook 14 UX3405CA,23999000,"Intel Core Ultra 7 Processor 255H 2.0 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 16 Threads)",32,1000,7.0,100,100,100,80,98.0
191,Asus Zenbook A14 UX3407QA Snapdragon,15499000,Qualcomm Hexagon NPU up to 45TOPS,16,512,7.0,60,90,80,80,75.0
192,Asus Zenbook OLED 14 UM3406GA-OLED7111M,19999000,"AMD Ryzen AI 7 445 Processor 2.0GHz (14MB Cache, up to 4.6GHz, 6 cores, 12 Threads); AMD XDNA NPU up to 50TOPS",16,1000,7.0,60,90,100,80,79.0
193,Asus Zenbook S 13 OLED UX5304MA,20999000,Intel® AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
194,Asus Zenbook S 14 OLED UX5406SA,24999000,"Intel Core Ultra 7 Processor 258V 32GB 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads)",32,1000,7.0,100,100,100,80,98.0
195,Asus Zenbook S 14 OLED UX5406SA,23999000,Intel® AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
196,Asus Zenbook S16 OLED UM5606GA-OLEDS9311TM,33999000,AMD XDNA™ NPU up to 50TOPS,32,1000,7.0,60,100,100,80,82.0
197,Avita Pura A+,5999000,"AMD Hexa Core Ryzen 5 5500U Up To 4,0Ghz 6 Core 12 Threads",8,512,7.0,80,70,80,80,77.0
198,Avita Pura A+,5799000,"Intel Core i3-1215U Up To 4,4Ghz 6 Core 8 Threads",8,256,7.0,60,70,60,80,65.0
199,Avita Pura A+,6499000,"Intel Core i5-1235U Up To 4,4Ghz 10 Core 12 Threads",8,512,7.0,80,70,80,80,77.0
200,Avita Satus S101,3499000,"Intel Celeron N4020 Up To 2,8Ghz 2 Cores 2 Threads",8,256,7.0,60,70,60,80,65.0
201,Axioo Hype R3,7399000,"Intel Core i3-1215U (1.2 GHz Base, 4.4 GHz Turbo, 6 Cores, 8 Threads, TDP: 15W)",12,256,7.0,60,80,60,80,68.0
202,Axioo Hype R5,9799000,"Intel Core i5-1235U (1.3 GHz Base, 4.4 GHz Turbo, 10 Cores, 12 Threads, TDP: 15W)",24,512,7.0,80,95,80,80,84.5
203,Axioo MyBook Hype 1,3799000,"Intel Celeron N4020 (1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W)",4,128,7.0,60,40,40,80,52.0
204,Axioo MyBook Hype 1,3199000,"Intel Celeron N4020 (1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W)",8,128,7.0,60,70,40,80,61.0
205,Axioo MyBook Hype 1,4299000,"Intel Celeron N4020 (1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W)",8,128,7.0,60,70,40,80,61.0
206,Axioo MyBook Hype 3 Gen11,4699000,"Intel Core i3-1125G4 speed up 2.0 GHz (4 Cores, 8 Threads, 3.7GHz Turbo)",8,256,7.0,60,70,60,80,65.0
207,Axioo MyBook Hype 3,4699000,"Intel® Core™ i3-1005G1 (2cores,4threads,1.2GHz Base, 3.4GHz Turbo)",8,256,7.0,60,70,60,80,65.0
208,Axioo MyBook Hype 3,4199000,"Intel® Core™ i3-1005G1 (2cores,4threads,1.2GHz Base, 3.4GHz Turbo)",8,256,7.0,60,70,60,80,65.0
209,Axioo MyBook Hype 5,5399000,"AMD Ryzen™ 5-5500U (2.1GHz Base, 4.0GHz Turbo, 6 Core 12 Threads, Base TDP: 15W)",8,256,7.0,60,70,60,80,65.0
210,Axioo MyBook Hype 5 G12 V2,7799000,"Intel® Core™ i5-1235U (10 Cores,12 Threads, Base TDP:15W)",8,256,7.0,80,70,60,80,73.0
211,Axioo MyBook Hype 5,7799000,"Intel® Core™ i5-1235U (10 Cores,12 Threads, Base TDP:15W)",8,256,7.0,80,70,60,80,73.0
212,Axioo MyBook Hype 5 X3,5999000,"AMD Ryzen™ 5-3500U(2.1GHz Base, 3.7GHz Turbo, 4 Core 8 Threads, Base TDP: 15W)",8,256,7.0,60,70,60,80,65.0
213,Axioo MyBook Hype 5 X3 Lollipop,6199000,"AMD Ryzen 5-3500U (2.1GHz Base, 3.7GHz Turbo, 4 Core 8 Threads, Base TDP: 15W)",8,256,7.0,80,70,60,80,73.0
214,Axioo MyBook Hype 5 X3 Lollipop Edition,6199000,"AMD Ryzen 5-3500U (2.1GHz Base, 3.7GHz Turbo, 4 Core 8 Threads, Base TDP: 15W)",8,256,7.0,80,70,60,80,73.0
215,Axioo MyBook Hype 5 X5,7199000,"AMD Ryzen™ 5 7430U Up To 4,3Ghz 6 Core 12 Threads",8,256,7.0,60,70,60,80,65.0
216,Axioo Mybook Hype 5 X5 Lollipop,7299000,"AMD Hexa Core Ryzen 5 7430U Up To 4,3Ghz 6 Core 12 Threads",8,256,7.0,80,70,60,80,73.0
217,Axioo Mybook Hype 5 X5 Lollipop,7299000,"AMD Hexa Core Ryzen 5 7430U Up To 4,3Ghz 6 Core 12 Threads",8,256,7.0,80,70,60,80,73.0
218,Axioo MyBook Hype 5 X6,7999000,"AMD Ryzen 5-6600H (3.3GHz Base, 4.5GHz Turbo, 6 Core12 Threads, Base TDP: 45W)",8,512,5.0,80,70,80,60,75.0
219,Axioo MyBook Hype 7 X7,6499000,AMD Ryzen 7 5825U 1.8 – 4.3GHz (8C/16T/8MB Cache),8,512,7.0,100,70,80,80,85.0
220,Axioo MyBook Hype 7 X9,11999000,"AMD Ryzen™ 7 8745HS (Typ. TDP : 35W) 8 Cores, 16 Threads, Up to 4.9 GHz Turbo",32,512,6.5,60,100,80,80,78.0
221,Axioo MyBook Saga 12,7099000,"Intel® Core™ i5-1240P (12 Cores, 16 Threads, TDP:28W)",8,512,7.0,80,70,80,80,77.0
222,Axioo Pongo 725,9899000,"Intel® Core™ i7-12650H (10 Cores, 16 Threads, TDP:45 W)",16,512,5.0,100,90,80,60,89.0
223,Axioo Pongo 750,16299000,"Intel® Core™ i7-13620H @3.6 GHz Base, 4.9 GHz Turbo(10 Cores, 16 Threads, TDP:45 W)",16,512,5.0,100,90,80,60,89.0
224,Axioo Pongo 775,23499000,"Intel Core i7-13620H (10 Cores, 16 Threads, TDP:45 W) “Performance Cores: 6 Cores, 12 Threads, 2.4 GHz Base, 4.9 GHz Turbo. Efficient Cores: 4 Cores, 4 Threads, 1.8 GHz Base, 3.6 GHz Turbo”",16,512,5.0,100,90,80,60,89.0
225,Axioo Pongo V2 725,13499000,"Intel® Core™ i7-13620H Up To 4,9Ghz 10 Core 16 Threads",16,512,5.0,100,90,80,60,89.0
226,Axioo Slimbook Hype 10,4599000,"Intel Celeron Pocessor N4020(1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W)",8,256,7.0,60,70,60,80,65.0
227,Dell Inspiron 5440,9499000,"Intel® Core™ i5-1334U (Cache 12 M, Up To 4,60 GHz)",8,512,7.0,80,70,80,80,77.0
228,Dell Pro 14 Essential (PV14255),8999000,"AMD Ryzen 5 220 Processor (6 cores, up to 4.9 GHz)",8,512,7.0,80,70,80,80,77.0
229,HP 14 EM0018AU EM0019AU,7299000,"AMD Ryzen™ 5 7530U (6C / 12T, 2.0 / 4.5GHz, 3MB L2 / 16MB L3)",8,512,7.5,60,70,80,80,69.0
230,HP 14 EM0167AU EM0168AU,8999000,"AMD Ryzen™ 7 7730U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)",16,512,7.5,60,90,80,80,75.0
231,HP 14 EM0222AU EM0223AU,4999000,"AMD Athlon™ Silver 7120U (up to 3.5 GHz max boost clock, 2 MB L3 cache, 2 cores, 2 threads)",8,512,7.5,60,70,80,80,69.0
232,HP 14 EM0320AU / EM0321AU,8499000,"AMD Ryzen 3 7320U (up to 4.1 GHz max boost clock, 4 MB L3 cache, 4 cores, 8 threads )",8,512,7.5,60,70,80,80,69.0
233,HP 14 EM0530AU/EM0531AU,9499000,"AMD Ryzen 5 7530U (6C / 12T, 2.0 / 4.5GHz, 3MB L2 / 16MB L3)",8,512,7.5,80,70,80,80,77.0
234,HP 14 EM0730AU EM0731AU,11499000,"AMD Ryzen 7 7730U (8C / 16T, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)",16,512,7.5,100,90,80,80,91.0
235,HP 14 EP0261TU EP0260TU,8499000,"Intel Core i3-1315U Up To 4,5Ghz 6 Core 8 Threads",8,512,7.5,60,70,80,80,69.0
236,HP 14 EP0321TU,7699000,"Intel® Core™ i3-1315U Cache 10 M, hingga 4,50 GHz",4,512,7.5,60,40,80,80,60.0
237,HP 14 EP1188TU,10999000,Intel Core Ultra 5 125H,16,512,7.0,80,90,80,80,83.0
238,HP 14 EP1711TU / EP1155TU,9249000,"Intel Core 5 120U Cache 12M, hingga 5,00 GHz",16,512,7.5,80,90,80,80,83.0
239,HP 14 Pavilion EK1094TU EK1095TU Touch X360,9799000,"Intel® Core™ i3-1315U 6-core (8 thread) dual-core P-core 1,2 GHz TurboBoost 4,5GHz + quad-core E-core 0,9GHz TurboBoost 3,3GHz",8,512,7.5,60,70,80,80,69.0
240,HP 14-EM0195AU / EM0196AU,5149000,Intel Core i3,8,512,7.5,60,70,80,80,69.0
