ID,Nama_Laptop,Harga_Rp,Skor_Utilitas
106,Asus Vivobook 14 A1404VA,8399000,77.0
107,Asus Vivobook 14 A1404VA,10899000,85.0
108,Asus Vivobook 14 A1404VAP,8999000,69.0
109,Asus Vivobook 14 A1404VAP,10999000,77.0
110,Asus Vivobook 14 A1404VAP,10199000,77.0
111,Asus Vivobook 14 A1404VAP,14499000,95.0
112,Asus Vivobook 14 A1404VAP,12199000,95.0
113,Asus Vivobook 14 A1404VAP,13499000,91.0
114,Asus Vivobook 14 A1404VAP,11999000,85.0
115,Asus Vivobook 14 A1404ZA,8899000,77.0
116,Asus Vivobook 14 A1404ZA,8099000,83.0
117,Asus Vivobook 14 A1404ZA,8099000,83.0
118,Asus Vivobook 14 A1404ZA,7699000,77.0
119,Asus Vivobook 14 A1404ZA,8299000,77.0
120,Asus Vivobook 14 A1405VA,12499000,95.0
121,Asus Vivobook 14 A1405VA,11199000,83.0
122,Asus Vivobook 14 A1407CA,11499000,83.0
123,Asus Vivobook 14 A1407QA Snapdragon,10499000,75.0
124,Asus Vivobook 14 A1407QA Snapdragon®,11499000,79.0
125,Asus Vivobook 14 M1405YA,8399000,75.0
126,Asus Vivobook 14 M1405YA,11799000,91.0
127,Asus Vivobook 14 M1405YA,10499000,95.0
128,Asus VivoBook 14 M1407KA,10999000,75.0
129,Asus Vivobook 14 M1407KA-VIPS5154M,10499000,75.0
130,Asus Vivobook 14 OLED M1405YA,11499000,79.0
131,Asus Vivobook 16 M1605NAQ,13999000,83.0
132,Asus Vivobook E1504FA,9399000,83.0
133,Asus Vivobook Flip S14 TP3407SA-OLED5152M,19999000,83.0
134,Asus Vivobook Flip TP3407AA-OLED7151TM,25999000,75.0
135,Asus Vivobook Go 12 E210KA,3649000,69.0
136,Asus Vivobook Go 14 E1404FA,8299000,69.0
137,Asus Vivobook Go 14 E1404FA,7899000,69.0
138,Asus Vivobook Go 14 E1404FA,5949000,65.0
139,Asus Vivobook Go 14 E1404FA,5599000,65.0
140,Asus Vivobook Go 14 E1404FA,6199000,69.0
141,Asus Vivobook Go 14 E1404FA,6199000,69.0
142,Asus Vivobook Go 14 E1404FA,10199000,83.0
143,Asus Vivobook Go 14 E1404FA,7699000,69.0
144,Asus Vivobook Go 14 E1404FA,7399000,69.0
145,Asus Vivobook Go 14 E1404FA,9099000,77.0
146,Asus Vivobook Go 14 E1404GA,5899000,65.0
147,Asus Vivobook Go 14 E1404GA,5899000,65.0
148,Asus Vivobook Go 14 E1404GA,6149000,69.0
149,Asus Vivobook Go 14 E1404GA,5999000,69.0
150,Asus Vivobook Go 14 E1404GA,6299000,69.0
151,Asus Vivobook Go 14 E1404GA,5599000,65.0
152,Asus Vivobook Go 14 E1404TA,6999000,65.0
153,Asus Vivobook Go 14 E410KA,4449000,65.0
154,Asus Vivobook Go 14 E410KA,3999000,56.0
155,Asus Vivobook Go 14 E410KA,4549000,65.0
156,Asus Vivobook Go 14 E410KA,4499000,65.0
157,Asus Vivobook Go 14 E410KA,4849000,69.0
158,Asus Vivobook Go 14 E410KA,4949000,69.0
159,Asus Vivobook Go 15 E1504FA,9299000,75.0
160,Asus Vivobook Go 15 E1504FA,9299000,83.0
161,Asus Vivobook Go 15 OLED E1504FA,7349000,69.0
162,Asus Vivobook Go E1404FA,8299000,75.0
163,Asus Vivobook Go E410KA,4899000,69.0
164,Asus Vivobook Pro 16X OLED M7600QE,14999000,77.0
165,Asus Vivobook S 14 Flip OLED TP3402VA Touch 2in1,15499000,91.0
166,Asus Vivobook S 14 S5406MA,14999000,95.0
167,Asus Vivobook S14 Flip OLED TP3402VA Touch 2in1,13349000,83.0
168,Asus Vivobook S14 Flip TN3402YA Touch 2in1,11399000,75.0
169,Asus Vivobook S14 Flip TP3402VA Touch 2in1,12499000,83.0
170,Asus Vivobook S14 M3407HA,14999000,95.0
171,Asus Vivobook S14 M3407KA,16999000,79.0
172,Asus Vivobook S14 S3407CA,15999000,79.0
173,Asus Vivobook S14 S3407CA,14499000,87.0
174,Asus Vivobook S14 S3407CA,13399000,79.0
175,Asus Vivobook S14 S3407QA Snapdragon,11999000,75.0
176,Asus Vivobook S14 S3407QA Snapdragon®,14199000,79.0
177,Asus Vivobook S14 S3407QA Snapdragon®,13499000,75.0
178,Asus Vivobook S14 S3407VA,12699000,75.0
179,Asus Vivobook S14 S5406SA,17499000,98.0
180,Asus Zenbook 14 OLED UX3405CA,24999000,82.0
181,Asus Zenbook 14 OLED UX3405CA,21999000,82.0
182,Asus Zenbook 14 OLED UX3405MA,18999000,98.0
183,Asus Zenbook 14 OLED UX3405MA,18999000,98.0
184,Asus Zenbook 14 OLED UX3405MA,15999000,87.0
185,Asus Zenbook 14 UX3405CA,19499000,79.0
186,Asus Zenbook 14 UX3405CA,23999000,98.0
187,Asus Zenbook A14 UX3407QA Snapdragon,15499000,75.0
188,Asus Zenbook OLED 14 UM3406GA-OLED7111M,19999000,79.0
189,Asus Zenbook S 13 OLED UX5304MA,20999000,82.0
190,Asus Zenbook S 14 OLED UX5406SA,24999000,98.0
191,Asus Zenbook S 14 OLED UX5406SA,23999000,82.0
192,Asus Zenbook S16 OLED UM5606GA-OLEDS9311TM,33999000,82.0
193,Avita Pura A+,5899000,77.0
194,Avita Pura A+,5799000,65.0
195,Avita Pura A+,6299000,77.0
196,Avita Satus S101,3499000,65.0
197,Axioo Hype R3,7399000,68.0
198,Axioo Hype R5,9799000,84.5
199,Axioo MyBook Hype 1,3799000,52.0
200,Axioo MyBook Hype 1,3199000,61.0
201,Axioo MyBook Hype 3 Gen11,4699000,65.0
202,Axioo MyBook Hype 3,4699000,65.0
203,Axioo MyBook Hype 3,4199000,65.0
204,Axioo MyBook Hype 5,5399000,65.0
205,Axioo MyBook Hype 5 G12 V2,7799000,73.0
206,Axioo MyBook Hype 5,7799000,73.0
207,Axioo MyBook Hype 5 X3,6199000,65.0
208,Axioo MyBook Hype 5 X3 Lollipop,6299000,73.0
209,Axioo MyBook Hype 5 X3 Lollipop Edition,6199000,73.0
210,Axioo MyBook Hype 5 X5,7199000,65.0
211,Axioo Mybook Hype 5 X5 Lollipop,7299000,73.0
212,Axioo Mybook Hype 5 X5 Lollipop,7299000,73.0
213,Axioo MyBook Hype 5 X6,7999000,75.0
214,Axioo MyBook Hype 7 X7,6499000,85.0
215,Axioo MyBook Hype 7 X9,11999000,78.0
216,Axioo MyBook Saga 12,7099000,77.0
217,Axioo Pongo 725,9899000,89.0
218,Axioo Pongo 750,16499000,89.0
219,Axioo Pongo 775,23499000,89.0
220,Axioo Pongo V2 725,13499000,89.0
221,Axioo Slimbook Hype 10,4699000,65.0
222,Dell Inspiron 5440,9499000,77.0
