ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
48,Asus ExpertBook P1 P1403CVA-S63850WS,8499000,"Intel Core i3-1315U Processor 1.2GHz (10M Cache, up to 4.5GHz, 6 cores)",8,512,7.0,60,70,80,80,69.0
49,Asus ExpertBook P1 P1403CVA-S63852WS,8799000,"Intel Core 3 100U Up To 4,7Ghz 6 Core 8 Threads",8,512,7.0,60,70,80,80,69.0
50,Asus ExpertBook P1 P1403CVA-S63852X,10299000,"Intel® Core™ 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 Cores",8,512,7.0,60,70,80,80,69.0
51,Asus ExpertBook P1 P1403CVA-S65852WS,10499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",8,512,7.0,80,70,80,80,77.0
52,Asus ExpertBook P1 PM1403CDA-S65151WS,11699000,"AMD Hexa Core Ryzen 5 150 Up To 4,55hz 6 Core 12 Threads",16,512,7.0,80,90,80,80,83.0
53,Asus ExpertBook P1 PM1403CDA-S65851WS,9999000,"AMD Ryzen™ 5 150 Processor 3.3GHz (16MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)",8,512,7.0,60,70,80,80,69.0
54,Asus ExpertBook P1 PM1403CDA-S67151WS,13299000,"AMD Octa Core Ryzen 7 170 Up To 4,75hz 8 Core 16 Threads",16,512,7.0,100,90,80,80,91.0
55,Asus ExpertBook P5 P5405CSA-NZ5150WS – Misty Grey,16999000,"Intel Core Ultra 5 Processor 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads)",16,512,7.0,80,90,80,80,83.0
56,Asus ExpertBook,47999000,Intel AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
57,Asus ExpertBook,49999000,"Intel Core Ultra X7 Processor 358H 1.9 GHz (18MB Cache, up to 4.8 GHz, 16 Cores, 16 Threads); Intel AI Boost NPU up to 50 TOPS",32,1000,7.0,60,100,100,80,82.0
58,Asus Gaming V16 V3607VJ-I535B1T-HM,14499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",8,512,5.0,80,70,80,60,75.0
59,Asus Gaming V16 V3607VM-I7N56B6T-HM,21999000,"Intel Core 7 240H, 10C (6P + 4E) / 16T, P-core 2.5 / 5.2GHz, E-core 1.8 / 4.0GHz, 24MB",16,512,5.0,100,90,80,60,89.0
60,Asus Gaming V16 V3607VU-I545B7T-HM – Matte Black,16499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,5.0,80,90,80,60,81.0
61,Asus Gaming V16 V3607VU-I745B7T-HM,17999000,"Intel Core 7 240H Up To 5,2Ghz 10 Core 16 Threads",16,512,5.0,100,90,80,60,89.0
62,Asus ROG STRIX G G615JHR-I7N55C6G-HM,27499000,"Intel Core i7-14650HX Up To 5,2Ghz 16 Core 24 Threads",16,512,5.0,100,90,80,60,89.0
63,Asus ROG STRIX G G615LH-I7N55C6G-HM,28499000,"Intel Core Ultra 7 Processor 255HX 2.4 GHz (30MB Cache, up to 5.2 GHz, 20 cores, 20 Threads)",16,512,5.0,100,90,80,60,89.0
64,Asus ROG Strix G16 G614PM-R9N56C6G-HM – Eclipse Gray,29999000,"AMD Ryzen 9 8940HX Processor 2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",16,1000,5.0,100,90,100,60,93.0
65,Asus TUF A15 FA506NCG-R735B6T-HM,14499000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",16,512,5.0,100,90,80,60,89.0
66,Asus TUF Gaming A15 FA506NCG-R735B1T-HM,13499000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",8,512,5.0,100,70,80,60,83.0
67,Asus TUF Gaming A15 FA506NCQ-R735B1T-HM,13999000,"AMD Ryzen 7 170 Processor 3.2GHz (20MB Cache, up to 4.75 GHz, 8 cores, 16 Threads)",8,512,5.0,100,70,80,60,83.0
68,Asus TUF Gaming A15 FA506NCQ-R735B6T-HM,14999000,"AMD Ryzen 7 170 Processor 3.2GHz (20MB Cache, up to 4.75 GHz, 8 cores, 16 Threads)",16,512,5.0,100,90,80,60,89.0
69,Asus TUF Gaming A16 FA607NUG-R745J6M-HM,16999000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",16,512,5.0,100,90,80,60,89.0
70,Asus TUF Gaming A16 FA608PP-R9N57G6G-HM,29499000,"AMD Ryzen 9 8940HX Processor 2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",16,1000,5.0,100,90,100,60,93.0
71,Asus TUF Gaming A16 FA608UH-R7N55J6G-HM,22999000,"AMD Ryzen 7 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA NPU up to 16TOPS",16,512,5.0,100,90,80,60,89.0
72,Asus TUF Gaming A16 FA608UM-R7N56J6G-HM,23999000,"AMD Ryzen 7 260 processor with 8 cores, 16 threads",16,512,5.0,100,90,80,60,89.0
73,Asus TUF Gaming F15 FX607VU-I545J6M-HM,18999000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,5.0,80,90,80,60,81.0
74,Asus TUF Gaming F16 FX608JHR-I7N55J6G-HM,23999000,"Intel® Core™ i7 Processor 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 cores, 24 Threads)",16,512,5.0,100,90,80,60,89.0
75,Asus TUF Gaming F16 FX608JMR,26999000,"14th Gen Intel Core Intel Core i7 Processor 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 cores, 24 Threads)",16,1000,5.0,100,90,100,60,93.0
76,Asus Vivobook 14 A1404VA,13499000,"Intel Core i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",16,512,7.0,100,90,80,80,91.0
77,Asus Vivobook 14 A1404VAP,8999000,"Intel Core 3 100U Up To 4,7Ghz 6 Core 8 Threads",8,512,7.0,60,70,80,80,69.0
78,Asus Vivobook 14 A1404VAP,11199000,Intel Core 5 Processor 120U Up To 5 Ghz 10 Core 12 Threads,8,512,7.0,80,70,80,80,77.0
79,Asus Vivobook 14 A1404VAP,10499000,"Intel Core 5 Processor 120U 1.4 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",8,512,7.0,80,70,80,80,77.0
80,Asus Vivobook 14 A1404VAP,14499000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",16,1000,7.0,100,90,100,80,95.0
81,Asus Vivobook 14 A1404VAP,13999000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",16,512,7.0,100,90,80,80,91.0
82,Asus Vivobook 14 A1405VA,11499000,"Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads)",16,512,7.0,80,90,80,80,83.0
83,Asus Vivobook 14 A1407QA Snapdragon®,11499000,Qualcomm® Hexagon™ NPU up to 45TOPS,16,1000,7.0,60,90,100,80,79.0
84,Asus Vivobook Flip S14 TP3407SA-OLED5152M,19999000,"Intel Core Ultra 5 Processor 226V 2.1 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads) Intel AI Boost NPU up to 40",16,512,7.0,80,90,80,80,83.0
85,Asus Vivobook Flip TP3407AA-OLED7151TM,25999000,Intel NPU up to 50TOPS,16,512,7.0,60,90,80,80,75.0
86,Asus Vivobook Go 14 E410KA,6299000,"Intel Celeron N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,256,7.0,60,70,60,80,65.0
87,Asus Vivobook Go 15 E1504FA,9499000,"AMD Ryzen 3 7320U Mobile Processor (4-core/8-thread, 4MB cache, up to 4.1 GHz max boost)",16,512,7.0,60,90,80,80,75.0
88,Asus Vivobook S14 M3407HA,14999000,"AMD Ryzen 7 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads) AMD XDNA NPU up to 16TOPS",16,1000,7.0,100,90,100,80,95.0
89,Asus Vivobook S14 M3407KA,16499000,"AMD Ryzen AI 7 350 Processor 2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA NPU up to 50TOPS",16,1000,7.0,60,90,100,80,79.0
90,Asus Vivobook S14 S3407CA,16499000,Intel AI Boost NPU up to 13TOPS,16,1000,7.0,60,90,100,80,79.0
91,Asus Vivobook S14 S3407CA,13399000,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,1000,7.0,60,90,100,80,79.0
92,Asus Vivobook S14 S3407QA Snapdragon,11999000,"Snapdragon® X X1 26 100 Processor (30MB Cache, up to 2.97GHz, 8 cores, 8 Threads); Qualcomm® Hexagon™ NPU up to 45TOPS",16,512,7.0,60,90,80,80,75.0
93,Asus Vivobook S14 S3407VA,12699000,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,7.0,60,90,80,80,75.0
94,Asus Zenbook 14 OLED UX3405CA,25999000,Intel AI Boost NPU,32,1000,7.0,60,100,100,80,82.0
95,Asus Zenbook 14 UX3405CA,19999000,Intel AI Boost NPU,16,1000,7.0,60,90,100,80,79.0
96,Asus Zenbook A14 UX3407QA Snapdragon,15999000,Qualcomm Hexagon NPU up to 45TOPS,16,512,7.0,60,90,80,80,75.0
97,Asus Zenbook OLED 14 UM3406GA-OLED7111M,19999000,"AMD Ryzen AI 7 445 Processor 2.0GHz (14MB Cache, up to 4.6GHz, 6 cores, 12 Threads); AMD XDNA NPU up to 50TOPS",16,1000,7.0,60,90,100,80,79.0
98,Asus Zenbook S 14 OLED UX5406SA,28499000,"Intel Core Ultra 7 Processor 258V 32GB 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads)",32,1000,7.0,100,100,100,80,98.0
99,Asus Zenbook S16 OLED UM5606GA-OLEDS9311TM,34999000,AMD XDNA™ NPU up to 50TOPS,32,1000,7.0,60,100,100,80,82.0
100,Avita Satus S101,3499000,"Intel Celeron N4020 Up To 2,8Ghz 2 Cores 2 Threads",8,256,7.0,60,70,60,80,65.0
101,Axioo Hype R5,9799000,"Intel Core i5-1235U (1.3 GHz Base, 4.4 GHz Turbo, 10 Cores, 12 Threads, TDP: 15W)",24,512,7.0,80,95,80,80,84.5
102,Axioo MyBook Hype 1,3799000,"Intel® Celeron® Pocessor N4020(1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W)",4,128,7.0,60,40,40,80,52.0
