ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
136,Infinix Xbook B15,7299000,"AMD Hexa Core Ryzen 5 5500U Up To 4,0Ghz 6 Core 12 Threads",8,256,7.0,80,70,60,80,73.0
137,Lenovo Ideapad 5 14IAL10 63ID,17999000,Ultra 7 255U,8,512,7.0,100,70,80,80,85.0
138,Lenovo IdeaPad Slim 3 14AMN8 C4ID,8499000,"AMD Ryzen 3 7320U (4C / 8T, 2.4 / 4.1GHz, 2MB L2 / 4MB L3)",8,512,7.5,60,70,80,80,69.0
139,Lenovo IdeaPad Slim 3 14IRH10 EXID,14299000,"Intel Core i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",8,512,7.5,100,70,80,80,85.0
140,Lenovo IdeaPad Slim 3 14IRU8,8199000,"Intel Core i3-1315U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB",8,256,7.5,60,70,60,80,65.0
141,Lenovo IdeaPad Slim 3 14IRU8,8199000,"Intel Core i3-1315U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB",8,256,7.5,60,70,60,80,65.0
142,Lenovo IdeaPad Slim 3 14IRU8,8699000,"Intel Core i3-1315U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.5GHz, E-core 0.9 / 3.3GHz, 10MB",8,512,7.5,60,70,80,80,69.0
143,Lenovo IdeaPad Slim 3 15IRU8 KXID,9299000,"Intel Core i3-1315U, 6C (2P + 4E) / 8T, P-core up to 4.5GHz, E-core up to 3.3GHz, 10MB Intel Smart Cache",8,512,7.5,60,70,80,80,69.0
144,Lenovo Ideapad SLIM 3-14IRH10 BWID,10299000,"Intel® Core i5-13420H, 8C (4P + 4E) / 12T, P-core up to 4.6GHz, E-core up to 3.4GHz, 12MB Intel Smart Cache",8,512,7.5,80,70,80,80,77.0
145,Lenovo IdeaPad Slim 5 13ARP10 5KID,15999000,"AMD Ryzen 7 7735HS (8C / 16T, 3.2 / 4.75GHz, 4MB L2 / 16MB L3)",16,512,4.5,100,90,80,60,89.0
146,Lenovo IdeaPad Slim 5 14AGP11,18999000,"AMD Ryzen AI 7 445 (6C / 12T, 2.0 / 4.6GHz, 6MB L2 / 8MB L3)",8,512,9.5,60,70,80,100,71.0
147,Lenovo IdeaPad Slim 5 14IAH10,15999000,"Intel Core Ultra 5 225H, 14C (4P + 8E + 2LPE) / 14T, Max Turbo up to 4.9GHz, 18MB",8,512,9.5,80,70,80,100,79.0
148,Lenovo Legion 5 15IAX10 64ID,33999000,"Intel Core Ultra 7 255HX, 20C (8P + 12E) / 20T, Max Turbo up to 5.2GHz, 30MB",16,512,8.5,100,90,80,100,93.0
149,Lenovo Legion 5 15IAX10 65ID,30999000,"Intel Core Ultra 7 255HX, 20C (8P + 12E) / 20T, Max Turbo up to 5.2GHz, 30MB",32,512,8.5,100,100,80,100,96.0
150,Lenovo Legion 5 15IRX10 E9ID,25999000,"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",16,512,8.5,100,90,80,100,93.0
151,Lenovo Legion PRO 5 16ADR10 15ID,28999000,"AMD Ryzen™ 7 8745HX (8C / 16T, 3.6 / 5.1GHz, 8MB L2 / 32MB L3)",24,1000,8.5,60,95,100,100,82.5
152,Lenovo Legion PRO 5 16IAX10 35ID,29999000,"Intel Core Ultra 7 255HX, 20C (8P + 12E) / 20T, Max Turbo up to 5.2GHz, 30MB",16,1000,8.5,100,90,100,100,97.0
153,Lenovo Legion PRO 5 16IAX10 39ID,36499000,"Intel Core Ultra 7 255HX, 20C (8P + 12E) / 20T, Max Turbo up to 5.2GHz, 30MB",32,1000,8.5,100,100,100,100,100.0
154,Lenovo Legion Pro 5 16IRX10 54ID,31999000,"Intel Core i9-14900HX, 24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",32,1000,8.5,100,100,100,100,100.0
155,LENOVO LOQ 15 ARP10E,15999000,"AMD Ryzen 7 7735HS (8C / 16T, 3.2 / 4.75GHz, 4MB L2 / 16MB L3)",16,512,5.0,100,90,80,60,89.0
156,Lenovo LOQ 15AHP11 0SID,25999000,"AMD Ryzen™ 7 250 (8C / 16T, 3.3 / 5.1GHz, 8MB L2 / 16MB L3)",16,512,6.5,60,90,80,80,75.0
157,Lenovo LOQ 15AHP11 0TID,22499000,"AMD Ryzen™ 7 250 (8C / 16T, 3.3 / 5.1GHz, 8MB L2 / 16MB L3)",16,512,6.5,60,90,80,80,75.0
158,Lenovo LOQ 15ARP10E,13999000,"AMD Octa Core Ryzen 7 170 Up To 4,75Ghz 8 Core 16 Threads",16,512,4.5,100,90,80,60,89.0
159,Lenovo LOQ 15ARP10E-1AID,13999000,"AMD Ryzen™ 7 7735HS (8C / 16T, 3.2 / 4.75GHz, 4MB L2 / 16MB L3) AI PC Category AI-Powered Gaming PC",16,1000,4.5,60,90,100,60,77.0
160,Lenovo LOQ 15IAX9E EHID,14999000,"Intel Core i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB Intel Smart Cache",16,512,6.5,80,90,80,80,83.0
161,Lenovo LOQ 15IRX11 3DID,20499000,"Intel Core i5-13450HX, 10C (6P + 4E) / 16T, P-core 2.4 / 4.6GHz, E-core 1.8 / 3.4GHz, 20MB Intel Smart Cache",16,512,6.5,80,90,80,80,83.0
162,Lenovo LOQ 15IRX11 3KID,18999000,"Intel Core i5-13450HX, 10C (6P + 4E) / 16T, P-core 2.4 / 4.6GHz, E-core 1.8 / 3.4GHz, 20MB Intel Smart Cache",16,512,6.5,80,90,80,80,83.0
163,Lenovo LOQ 15IRX9 ARID,19499000,"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",16,512,6.5,100,90,80,80,91.0
164,Lenovo LOQ 15IRX9 ASID,16499000,"Intel Core i5-13450HX, 10C (6P + 4E) / 16T, P-core 2.4 / 4.6GHz, E-core 1.8 / 3.4GHz, 20MB",16,512,6.5,80,90,80,80,83.0
165,Lenovo Yoga Pro 7 OLED 14IAH10 27ID – Luna Grey,31999000,"Intel Core Ultra 9 285H, 16C (6P + 8E + 2LPE) / 16T, Max Turbo up to 5.4GHz, 24MB",32,1000,9.5,100,100,100,100,100.0
166,Lenovo Yoga Slim 7 14ILL10 AVID,22999000,"Intel Core Ultra 7 258V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.8GHz, 12MB Intel Smart Cache",32,1000,9.5,100,100,100,100,100.0
167,Lenovo Yoga Slim 7 14ILL10 AWID,17999000,"Intel Core Ultra 5 226V, 8C (4P + 4LPE) / 8T, Max Turbo up to 4.5GHz, 8MB Intel Smart Cache",16,512,9.5,80,90,80,100,85.0
168,MacBook Air 13 Apple M5,20499000,Intel Core i3,16,512,7.0,60,90,80,80,75.0
169,MSI Crosshair 16 HX AI D2XWGKG 252ID,30999000,"Intel Core Ultra 9 Processor 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 cores, 24 Threads)",32,1000,5.0,100,100,100,60,96.0
170,MSI Cyborg 15 A13UDXK 1442ID – Translucent Black,17499000,"13th Gen Intel Core i7-13620H processor, 10 cores (6 P-cores + 4 E-cores), Max Turbo Frequency 4.9 GHz",16,512,5.0,100,90,80,60,89.0
171,MSI Cyborg 15 B13WEKG 475ID,17499000,13th Gen Intel Core i5-13420H processor 8 cores (4 P-cores + 4 E-cores),16,512,5.0,80,90,80,60,81.0
172,MSI Cyborg 15 B13WEKG 481ID,19999000,"13th Gen Intel Core i7-13620H Up To 4,9Ghz 10 Core 16 Threads",16,512,5.0,100,90,80,60,89.0
173,MSI Cyborg 15 B2RWFKG 050ID,21999000,"Intel Core 7 240H Up To 5,2Ghz 10 Core 16 Threads",16,512,5.0,100,90,80,60,89.0
174,MSI Cyborg 15 B2RWFKG 051ID,18499000,"Intel Core 5 210H Up To 4,8 Ghz 8 Core 12 Threads",16,512,5.0,80,90,80,60,81.0
175,MSI Katana 15 HX B14WEK 087ID,21999000,"Intel Core I7 14650HX Up To 5,2Ghz 16 Core 24 Threads",8,512,5.0,100,70,80,60,83.0
176,MSI Katana 15 HX B14WFK 92ID,23499000,"14th Gen Intel Core i7-14650HX Up To 5,2Ghz 16 Core 24 Threads",16,512,5.0,100,90,80,60,89.0
